Date,BKR,COP,CVX,DVN,ENPH,EOG,ET,FANG,HAL,KMI,MPC,OKE,OXY,PSX,SLB,VLO,WMB,XOM
2014-05-19,36.972171783447266,53.97927474975586,76.17322540283203,48.32305908203125,8.239999771118164,74.59699249267578,10.112955093383789,55.398406982421875,51.051612854003906,18.633577346801758,31.542814254760742,30.81711769104004,64.97518157958984,55.05646514892578,73.32330322265625,35.87860870361328,24.09967041015625,62.59245300292969
2014-05-20,36.70172119140625,54.05497360229492,75.89442443847656,49.18404006958008,8.079999923706055,74.29804992675781,10.106878280639648,54.627559661865234,50.78507614135742,18.594430923461914,31.454090118408203,31.317522048950195,64.65011596679688,54.550682067871094,73.39640808105469,35.65140914916992,24.304262161254883,62.468345642089844
2014-05-21,36.9244499206543,54.527122497558594,76.92288970947266,49.85519790649414,8.539999961853027,75.95333099365234,10.153458595275879,56.61302185058594,51.01929473876953,18.700685501098633,31.1204833984375,31.56525421142578,66.09264373779297,54.29778289794922,74.26644897460938,35.203495025634766,24.435407638549805,63.31224060058594
2014-05-22,36.96155548095703,54.4785041809082,76.59452819824219,49.29249572753906,8.670000076293945,75.603271484375,10.28508186340332,56.862186431884766,51.2131233215332,18.88522720336914,30.843671798706055,31.882339477539062,65.84883880615234,54.82353973388672,74.28105926513672,35.489112854003906,24.482616424560547,62.983375549316406
2014-05-23,37.1153450012207,54.45768737792969,76.4334487915039,49.2518310546875,8.75,75.81475067138672,10.414682388305664,56.66752624511719,51.697731018066406,18.834897994995117,30.9252986907959,32.110252380371094,65.67276763916016,54.59060287475586,74.12750244140625,35.404727935791016,24.587528228759766,62.8716926574707
2014-05-27,37.07821273803711,54.88124465942383,76.10508728027344,49.577239990234375,8.520000457763672,76.36894226074219,10.3336820602417,55.64753723144531,51.665409088134766,18.790157318115234,30.85786247253418,32.105289459228516,65.9978256225586,54.69045639038086,74.69047546386719,34.88541793823242,24.577037811279297,62.89649200439453
2014-05-28,37.1153450012207,55.24924087524414,75.90679931640625,49.787410736083984,8.420000076293945,76.70439147949219,10.347855567932129,55.58523941040039,51.237361907958984,18.784564971923828,31.006933212280273,32.13007354736328,67.0813980102539,55.2294921875,74.47844696044922,36.1512565612793,24.503599166870117,62.7103385925293
2014-05-29,37.48125457763672,55.235355377197266,75.78291320800781,50.092472076416016,8.430000305175781,77.7835693359375,10.262809753417969,58.4116096496582,51.68964767456055,18.790157318115234,31.87286376953125,32.00621032714844,67.60968017578125,56.11460494995117,75.93335723876953,36.767948150634766,24.540325164794922,62.84065246582031
2014-05-30,37.39640426635742,55.50614547729492,76.0740966796875,50.099246978759766,8.449999809265137,77.149169921875,10.319509506225586,58.76978302001953,52.206546783447266,18.672719955444336,31.723804473876953,31.951702117919922,67.5148696899414,56.42738723754883,76.06497955322266,36.384944915771484,24.6347599029541,62.3814811706543
2014-06-02,37.4388313293457,55.18675994873047,75.71477508544922,49.95689010620117,8.430000305175781,76.84290313720703,10.459233283996582,59.26030731201172,52.62749099731445,18.857269287109375,31.840909957885742,31.93683433532715,67.56227111816406,56.72684860229492,76.26311492919922,36.68355941772461,24.608518600463867,62.01535415649414
2014-06-03,37.391117095947266,55.422828674316406,75.9254150390625,50.6415901184082,8.380000114440918,77.77629089355469,10.386333465576172,60.965476989746094,53.080841064453125,18.913188934326172,31.262434005737305,31.946748733520508,67.88734436035156,56.26100158691406,76.21907806396484,35.963008880615234,24.56130027770996,62.294578552246094
2014-06-04,37.26913833618164,55.40895080566406,75.80150604248047,50.75685501098633,8.59000015258789,77.56483459472656,10.574663162231445,61.152366638183594,52.93512725830078,19.041810989379883,31.17371940612793,32.17961120605469,67.83317565917969,55.70199966430664,76.1236801147461,35.41122055053711,24.603273391723633,62.077415466308594
